trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-106.2864927093509,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-174.48257192327813,"{0: 13, 1: 6, 2: 8, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.3930385529502,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.117025841745814,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.50023641979615,"{0: 19, 1: 6, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.61526246024658,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,10,-107.6003753430226,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.89962666816476,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,9,5.675025182218,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-229.5293331592532,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-33.026650179373725,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.56146888412111,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.8631181842894,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.44446375980769,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.6548230602443,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.76994778258735,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.77275705908289,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-207.70828767122052,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-50.55328844330759,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,4,-99.54207078554246,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.8600992970495,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.59695920071806,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-26.398305593203965,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-224.78621261762532,"{0: 15, 1: 4, 2: 6, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-237.11179784200993,"{0: 15, 1: 5, 2: 11, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-163.57829775378408,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-182.0696369754129,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.83268445358115,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.77426200583889,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.66298110650898,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
